p_t mean,f0 mean,edit dist,edit std,edit dist mv,edit std mv,cov delta,cov std,exac delta,exac std
0.1,0.1,3.91,1.335,9.5,2.798,0.044,0.074,0.036,0.056
0.1,0.1,4.13,1.573,9.86,2.585,0.041,0.079,0.033,0.059
0.1,0.1,4.17,1.497,9.88,2.479,0.045,0.086,0.036,0.067
0.1,0.1,4.01,1.5,9.48,2.368,0.051,0.08,0.042,0.06
0.1,0.1,3.82,1.374,9.86,2.458,0.045,0.053,0.037,0.04
0.1,0.1,4.08,1.629,9.93,2.372,0.037,0.072,0.029,0.055
0.1,0.1,4.07,1.423,10.28,2.454,0.046,0.071,0.037,0.053
0.1,0.2,3.97,1.565,9.81,2.428,0.036,0.054,0.03,0.041
0.1,0.2,4.01,1.533,9.97,2.598,0.043,0.069,0.036,0.052
0.1,0.2,4.14,1.517,9.56,2.389,0.042,0.061,0.035,0.049
0.1,0.2,3.69,1.488,9.55,2.269,0.033,0.044,0.027,0.031
0.1,0.2,4.0,1.378,9.62,2.391,0.048,0.067,0.042,0.054
0.1,0.2,3.92,1.383,9.61,2.154,0.052,0.076,0.047,0.059
0.1,0.2,4.06,1.535,9.85,2.402,0.063,0.065,0.061,0.043
0.1,0.2,4.26,1.616,9.74,2.444,0.05,0.06,0.045,0.048
0.1,0.2,4.05,1.396,9.91,2.337,0.044,0.069,0.038,0.052
0.1,0.2,3.73,1.272,9.87,2.513,0.047,0.064,0.038,0.05
0.1,0.3,3.98,1.53,9.93,2.422,0.047,0.046,0.038,0.034
0.1,0.3,4.08,1.56,8.97,2.455,0.048,0.03,0.048,0.02
0.1,0.3,3.95,1.602,9.87,2.436,0.057,0.061,0.054,0.04
0.1,0.3,4.15,1.417,9.95,2.211,0.051,0.074,0.042,0.057
0.1,0.3,3.83,1.429,9.63,2.415,0.058,0.057,0.049,0.047
0.1,0.3,3.94,1.377,9.98,2.098,0.047,0.06,0.04,0.046
0.1,0.3,4.02,1.349,9.55,2.364,0.047,0.048,0.039,0.039
0.1,0.3,4.19,1.461,9.53,2.547,0.048,0.057,0.042,0.048
0.1,0.3,4.16,1.689,8.98,2.371,0.063,0.074,0.062,0.051
0.1,0.3,4.0,1.661,9.27,2.622,0.048,0.068,0.039,0.052
0.1,0.4,4.05,1.526,9.89,2.328,0.056,0.058,0.053,0.042
0.1,0.4,4.06,1.448,9.38,2.116,0.058,0.062,0.048,0.046
0.1,0.4,4.11,1.618,9.25,2.418,0.071,0.082,0.071,0.051
0.1,0.4,3.94,1.561,8.71,2.43,0.057,0.047,0.046,0.038
0.1,0.4,3.97,1.493,9.15,2.238,0.053,0.076,0.044,0.057
0.1,0.4,3.97,1.486,8.92,2.44,0.042,0.039,0.036,0.029
0.1,0.4,4.06,1.561,9.32,2.24,0.077,0.071,0.073,0.049
0.1,0.4,3.71,1.62,8.76,2.53,0.041,0.044,0.034,0.034
0.1,0.4,3.95,1.445,9.67,2.4,0.046,0.067,0.037,0.052
0.1,0.4,3.98,1.51,9.45,2.308,0.046,0.077,0.036,0.059
0.1,0.5,3.77,1.469,8.97,2.202,0.048,0.048,0.038,0.04
0.1,0.5,3.61,1.561,8.89,2.349,0.047,0.069,0.037,0.05
0.1,0.5,4.05,1.41,9.05,2.33,0.052,0.039,0.051,0.028
0.1,0.5,3.76,1.484,9.31,2.473,0.063,0.054,0.051,0.042
0.1,0.5,4.05,1.492,9.01,2.575,0.057,0.062,0.047,0.047
0.1,0.5,4.02,1.428,9.22,2.595,0.061,0.065,0.059,0.04
0.1,0.5,3.84,1.521,9.3,2.356,0.052,0.079,0.041,0.059
0.1,0.5,4.25,1.693,9.92,2.424,0.049,0.056,0.039,0.045
0.1,0.5,3.93,1.498,9.29,2.495,0.042,0.032,0.035,0.026
0.1,0.5,3.5,1.432,9.57,2.001,0.036,0.046,0.029,0.031
0.1,0.6,3.93,1.437,8.9,2.508,0.057,0.07,0.046,0.054
0.1,0.6,3.59,1.563,8.19,2.741,0.039,0.027,0.028,0.02
0.1,0.6,3.71,1.402,9.13,2.279,0.065,0.072,0.052,0.05
0.1,0.6,3.77,1.496,8.69,2.217,0.052,0.064,0.041,0.046
0.1,0.6,3.55,1.519,7.7,2.59,0.071,0.057,0.058,0.046
