p_t mean,f0 mean,edit dist,edit std,edit dist mv,edit std mv,cov delta,cov std,exac delta,exac std
0.1,0.3,3.23,0.705,6.04,1.726,0.051,0.078,0.052,0.061
0.1,0.3,3.2,0.678,6.37,1.885,0.055,0.064,0.061,0.049
0.1,0.4,3.41,0.549,5.94,1.777,0.042,0.087,0.049,0.061
0.1,0.4,3.32,0.614,6.42,1.898,0.061,0.083,0.056,0.067
0.1,0.4,3.16,0.674,5.85,1.982,0.043,0.052,0.044,0.038
0.1,0.4,3.34,0.651,6.54,2.017,0.065,0.061,0.06,0.051
0.1,0.4,3.34,0.57,6.42,1.727,0.065,0.06,0.067,0.046
0.1,0.4,3.38,0.645,5.95,2.002,0.057,0.069,0.049,0.055
0.1,0.4,3.3,0.557,6.3,1.646,0.062,0.073,0.056,0.061
0.1,0.4,3.28,0.634,6.21,1.818,0.055,0.064,0.045,0.052
0.1,0.4,3.28,0.618,6.25,2.022,0.052,0.049,0.047,0.048
0.1,0.4,3.32,0.581,6.32,1.766,0.051,0.062,0.058,0.046
0.1,0.5,3.28,0.649,6.29,2.137,0.064,0.065,0.062,0.051
0.1,0.5,3.24,0.585,6.23,1.832,0.053,0.068,0.052,0.053
0.1,0.5,3.28,0.679,6.11,2.019,0.055,0.063,0.045,0.055
0.1,0.5,3.22,0.672,5.96,2.034,0.049,0.043,0.049,0.034
0.1,0.5,3.24,0.695,6.08,1.724,0.04,0.062,0.042,0.046
0.1,0.5,3.17,0.649,5.86,1.849,0.052,0.053,0.058,0.04
0.1,0.5,3.21,0.571,6.08,1.781,0.059,0.063,0.055,0.05
0.1,0.5,3.22,0.743,6.15,1.841,0.064,0.072,0.056,0.057
0.1,0.5,3.29,0.668,6.18,1.91,0.07,0.075,0.063,0.058
0.1,0.5,3.28,0.618,6.05,1.931,0.048,0.064,0.05,0.048
0.1,0.6,3.14,0.707,5.77,1.743,0.042,0.053,0.038,0.044
0.1,0.6,3.22,0.642,5.94,2.097,0.038,0.054,0.043,0.04
0.1,0.6,3.29,0.588,6.15,1.92,0.067,0.083,0.064,0.059
0.1,0.6,3.23,0.719,5.46,1.921,0.06,0.042,0.049,0.038
0.1,0.6,2.97,0.78,5.4,1.783,0.046,0.046,0.034,0.037
0.1,0.6,3.29,0.637,5.96,1.849,0.054,0.072,0.053,0.058
0.1,0.6,3.11,0.733,5.86,1.709,0.04,0.032,0.039,0.028
0.1,0.6,3.22,0.657,5.94,1.777,0.054,0.068,0.051,0.049
0.1,0.6,3.32,0.631,6.0,1.881,0.048,0.073,0.046,0.055
