dist_metric,iter_number,sources accuracy
5.8815295628948263,5,"[0.6130359773408133, 0.5281608142081231, 0.4831640337449296, 0.5163534092010977, 0.5037649722854266]"
3.4674354442584061,8,"[0.45516917627201187, 0.310941100938914, 0.2922932245098332, 0.46171863692520876, 0.3871507766705357]"
5.6705754384996956,8,"[0.5356172878920532, 0.48858949197897267, 0.4221849253806168, 0.4988637900108128, 0.46780947015147173]"
5.7912349473166236,6,"[0.5333421199340559, 0.4615801409983771, 0.4867901879540978, 0.5264513181319376, 0.5574314272128905]"
3.8393119730061764,5,"[0.43634015621322464, 0.3919289510998539, 0.37648095300442314, 0.42787282947542465, 0.3740098793666306]"
4.8695704000551912,7,"[0.4736932834481513, 0.446304994778657, 0.4816691843831017, 0.41714628815717003, 0.5080986369099618]"
4.2073302711763816,6,"[0.5185474526202967, 0.5724180424235721, 0.29169565797174135, 0.34530311675084857, 0.5576119412693137]"
3.5021709928712119,7,"[0.3770769829088231, 0.372751597933995, 0.44457298143255947, 0.3556485001630322, 0.34729465411605515]"
4.9950552417973189,6,"[0.34614574421796024, 0.4154949201419886, 0.4832394515913398, 0.41778875849991387, 0.36989677649231545]"
2.9023467729413968,7,"[0.3103714417654476, 0.42793151676754204, 0.4141562632830191, 0.30754978526213295, 0.3574801845315441]"
4.4131843783467302,7,"[0.44114594671514945, 0.5491840171123634, 0.3570686745524423, 0.42880944063708865, 0.4222906763407837]"
3.7438450983998424,5,"[0.36239215089714893, 0.36407392815186296, 0.3953098425206339, 0.34574374585749185, 0.3378479763420011]"
4.8445289619134222,4,"[0.3206105216932778, 0.4111039559670266, 0.49340335557480436, 0.4792420055179557, 0.44173894375943085]"
5.1372020691417637,6,"[0.45674233249427953, 0.41377793386618494, 0.42845150394439147, 0.4525593643024505, 0.4284663096048887]"
4.4221648449590827,30,"[0.4231460100861819, 0.32164350071264913, 0.38184364418366196, 0.4547021943768294, 0.252431939737695]"
4.7975975238206399,6,"[0.47259525135117547, 0.4383198138582983, 0.38949064668519434, 0.40144519504617476, 0.3788599413136326]"
3.3300376334445616,7,"[0.4454851101584225, 0.310876701590543, 0.32152516426652833, 0.5338010623099915, 0.24714775425153065]"
3.3369652782818768,7,"[0.45374996436967485, 0.39493921369453544, 0.45153296119124475, 0.4590408571596741, 0.4533109632365027]"
4.1061481175468142,8,"[0.3749398135337478, 0.4428233181094859, 0.4395659776361649, 0.3826669174933012, 0.3600503603721994]"
5.1596120330498749,30,"[0.5361834655479975, 0.5818781397249667, 0.5394638392763017, 0.418422084964343, 0.4945940433311868]"
6.3871837900442321,9,"[0.5823945347231861, 0.5062979216310903, 0.6464529940778728, 0.7737584633625497, 0.3474179421823837]"
3.9156601524058949,6,"[0.4009138013814676, 0.34269154701327587, 0.46332121151357436, 0.35094588922961034, 0.5302450225754848]"
4.0288444366960343,5,"[0.48291599835181476, 0.338103197947999, 0.5758425575308851, 0.32890217364379976, 0.4632873739040574]"
5.395897516799363,6,"[0.545166327178748, 0.4675949671952035, 0.4284948992130708, 0.530623159285402, 0.4775855214128453]"
2.9756613595609971,30,"[0.31615785089272846, 0.2984597466455868, 0.4293113784851575, 0.5132083028311396, 0.30684740480430683]"
